         2174169930 function calls (2174169896 primitive calls) in 1374.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1915    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      627    0.001    0.000    0.002    0.000 <frozen genericpath>:133(_splitext)
      207    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     2510    0.001    0.000    0.002    0.000 <frozen posixpath>:52(normcase)
     1883    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      400    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.001    0.001 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/glob.py:176(_listdir)
     1653    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
      627    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:129(getLevelName)
        3    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/random.py:359(sample)
      400    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/shape_base.py:362(_stack_dispatcher)
      627    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:447(usesTime)
      200    0.001    0.000    0.001    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:100(get_sequence_of_sequences)
      600    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
     1026    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/glob.py:142(_iterdir)
        1    0.001    0.001    0.001    0.001 {built-in method posix.stat}
      627    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/threading.py:1483(current_thread)
        3    0.000    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/contextlib.py:78(inner)
      627    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
      8/5    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
     1254    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:975(release)
     1254    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:831(filter)
      8/5    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      400    0.000    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/utils/generic.py:147(is_numpy_array)
        1    0.000    0.000    0.001    0.001 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/fnmatch.py:38(_compile_pattern)
      627    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
      637    0.001    0.000    0.001    0.000 {built-in method time.time}
     1254    0.000    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/colorama/ansitowin32.py:28(__getattr__)
      200    0.000    0.000    0.001    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:150(seq_struct_sep_token_id)
        1    0.000    0.000    0.001    0.001 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/re/__init__.py:226(compile)
        1    0.000    0.000    0.001    0.001 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/re/__init__.py:280(_compile)
      400    0.000    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
      627    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/threading.py:1180(name)
      201    0.000    0.000    0.001    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.001    0.001 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/lightning/fabric/utilities/warnings.py:57(_is_path_in_lightning)
      627    0.001    0.000    0.001    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/multiprocessing/process.py:37(current_process)
     1254    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1255    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/re/_compiler.py:740(compile)
      627    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      627    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:383(getMessage)
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:887(add_special_tokens)
        3    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x2aadb4b62200}
     1023    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1086(pad_token)
      627    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/pathlib.py:437(__str__)
     1025    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      400    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/utils/generic.py:143(_is_numpy)
     1026    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/glob.py:108(<genexpr>)
      575    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      400    0.000    0.000    0.000    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:158(num_start_tokens)
      400    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
      287    0.000    0.000    0.000    0.000 {method 'begin' of 'Environment' objects}
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:989(add_tokens)
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/pathlib.py:551(drive)
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:362(_add_tokens)
      817    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      223    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1074(sep_token)
        1    0.000    0.000    0.000    0.000 {method 'add_special_tokens' of 'tokenizers.Tokenizer' objects}
      200    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:290(items)
     1254    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
     1200    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/multiarray.py:1080(copyto)
      574    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/pathlib.py:407(_load_parts)
        3    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/pathlib.py:387(_parse_path)
      800    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/collections/__init__.py:1137(__setitem__)
      800    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/re/_parser.py:969(parse)
      627    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/multiprocessing/process.py:189(name)
        1    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/tokenize.py:352(detect_encoding)
      200    0.000    0.000    0.000    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/data/objects.py:341(sequence_lengths)
      800    0.000    0.000    0.000    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/data/objects.py:236(<genexpr>)
      200    0.000    0.000    0.000    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3093(_is_valid_text_input)
      200    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      400    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      606    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
